,,,,,,,,,,
Timestamp,Which speech have you listened to/read?,How much time did you spend reading the speech/hearing the speech?(In Minutes),1. the speech was trying to convey feelings of Anger,2. the speech was trying to convey feelings of Anticipation,3. the speech was trying to convey feelings of Joy,4. the speech was trying to convey feelings of Trust,5. the speech was trying to convey feelings of Fear,6. the speech was trying to convey feelings of Surprise,7. the speech was trying to convey feelings of Sadness,8. the speech was trying to convey feelings of Disgust
10/22/2023 19:24:15,Steve Jobs' Stanford Commencement Speech (2005):https://academyatthelakes.org/wp-content/uploads/2016/02/SteveJobsatStanfordUniversityExcerpts.pdf Video: https://www.youtube.com/watch?v=UF8uR6Z6KLc,15,0,8,8,5,0,0,0,0
10/22/2023 19:33:18,Steve Jobs' Stanford Commencement Speech (2005):https://academyatthelakes.org/wp-content/uploads/2016/02/SteveJobsatStanfordUniversityExcerpts.pdf Video: https://www.youtube.com/watch?v=UF8uR6Z6KLc,4,0,5,7,7,1,4,5,0
10/23/2023 19:34:31,"Winston Churchill's ""We Shall Fight on the Beaches"" Speech (1940):https://winstonchurchill.org/resources/speeches/1940-the-finest-hour/we-shall-fight-on-the-beaches/ Video:https://www.youtube.com/watch?v=skrdyoabmgA",20,6,5,1,8,2,1,0,1
10/23/2023 19:36:12,John F. Kennedy's Inaugural Address (1961):https://www.archives.gov/milestone-documents/president-john-f-kennedys-inaugural-address Video: https://www.youtube.com/watch?v=PEC1C4p0k3E,15,5,8,5,8,2,2,0,1
10/28/2023 10:08:14,Steve Jobs' Stanford Commencement Speech (2005):https://academyatthelakes.org/wp-content/uploads/2016/02/SteveJobsatStanfordUniversityExcerpts.pdf Video: https://www.youtube.com/watch?v=UF8uR6Z6KLc,2,1,3,5,2,2,1,5,0
10/31/2023 11:30:42,John F. Kennedy's Inaugural Address (1961):https://www.archives.gov/milestone-documents/president-john-f-kennedys-inaugural-address Video: https://www.youtube.com/watch?v=PEC1C4p0k3E,5,1,8,8,7,1,1,0,0
10/31/2023 11:43:52,Aung San Suu Kyi's Nobel Lecture (2012):https://www.nobelprize.org/prizes/peace/1991/kyi/26193-aung-san-suu-kyi-nobel-lecture-english/ Video: https://www.youtube.com/watch?v=NihXxEDFIBM,6,6,6,7,2,3,2,1,1
11/1/2023 14:07:45,John F. Kennedy's Inaugural Address (1961):https://www.archives.gov/milestone-documents/president-john-f-kennedys-inaugural-address Video: https://www.youtube.com/watch?v=PEC1C4p0k3E,5,0,2,7,9,1,3,0,0
11/1/2023 14:11:16,Nelson Mandela's Inaugural Address (1994):https://www.africa.upenn.edu/Articles_Gen/Inaugural_Speech_17984.html Video: https://www.youtube.com/watch?v=pJiXu4q__VU,3,0,6,10,9,2,5,2,0
11/1/2023 14:22:58,Steve Jobs' Stanford Commencement Speech (2005):https://academyatthelakes.org/wp-content/uploads/2016/02/SteveJobsatStanfordUniversityExcerpts.pdf Video: https://www.youtube.com/watch?v=UF8uR6Z6KLc,8,1,7,3,7,8,2,7,0
11/1/2023 14:26:08,"Greta Thunberg's Climate Change Speeches :https://www.npr.org/2019/09/23/763452863/transcript-greta-thunbergs-speech-at-the-u-n-climate-action-summit#:~:text=%22The%20popular%20idea%20of%20cutting,may%20be%20acceptable%20to%20you Video: https://www.youtube.com/watch?v=KAJsdgTPJpU",4,10,6,0,2,8,0,9,10
